Started job at 2024-02-07 09:25:58.301338
apnea_matrix length: 38, non_apnea_matrix length = 38, matrix length = 96698
Failed to load data
apnea_matrix length: 8, non_apnea_matrix length = 8, matrix length = 96714
Failed to load data
apnea_matrix length: 336, non_apnea_matrix length = 336, matrix length = 97386
Failed to load data
apnea_matrix length: 955, non_apnea_matrix length = 955, matrix length = 99296
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 99296
apnea_matrix length: 29, non_apnea_matrix length = 29, matrix length = 99354
apnea_matrix length: 17, non_apnea_matrix length = 17, matrix length = 99388
apnea_matrix length: 9, non_apnea_matrix length = 9, matrix length = 99406
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 99406
apnea_matrix length: 19, non_apnea_matrix length = 19, matrix length = 99444
apnea_matrix length: 178, non_apnea_matrix length = 178, matrix length = 99800
apnea_matrix length: 69, non_apnea_matrix length = 69, matrix length = 99938
apnea_matrix length: 350, non_apnea_matrix length = 350, matrix length = 100638
apnea_matrix length: 34, non_apnea_matrix length = 34, matrix length = 100706
apnea_matrix length: 311, non_apnea_matrix length = 311, matrix length = 101328
apnea_matrix length: 98, non_apnea_matrix length = 98, matrix length = 101524
apnea_matrix length: 6, non_apnea_matrix length = 6, matrix length = 101536
apnea_matrix length: 343, non_apnea_matrix length = 343, matrix length = 102222
Failed to load data
Failed to load data
Failed to load data
apnea_matrix length: 196, non_apnea_matrix length = 196, matrix length = 102614
apnea_matrix length: 176, non_apnea_matrix length = 176, matrix length = 102966
apnea_matrix length: 23, non_apnea_matrix length = 23, matrix length = 103012
apnea_matrix length: 6, non_apnea_matrix length = 6, matrix length = 103024
apnea_matrix length: 236, non_apnea_matrix length = 236, matrix length = 103496
Failed to load data
apnea_matrix length: 413, non_apnea_matrix length = 413, matrix length = 104322
Failed to load data
apnea_matrix length: 133, non_apnea_matrix length = 133, matrix length = 104588
Failed to load data
apnea_matrix length: 20, non_apnea_matrix length = 20, matrix length = 104628
Failed to load data
Failed to load data
Failed to load data
Failed to load data
Failed to load data
Failed to load data
Failed to load data
Failed to load data
Failed to load data
apnea_matrix length: 28, non_apnea_matrix length = 28, matrix length = 104684
apnea_matrix length: 26, non_apnea_matrix length = 26, matrix length = 104736
apnea_matrix length: 2, non_apnea_matrix length = 2, matrix length = 104740
apnea_matrix length: 58, non_apnea_matrix length = 58, matrix length = 104856
apnea_matrix length: 4, non_apnea_matrix length = 4, matrix length = 104864
apnea_matrix length: 215, non_apnea_matrix length = 215, matrix length = 105294
apnea_matrix length: 4, non_apnea_matrix length = 4, matrix length = 105302
Failed to load data
Finished job at 2024-02-07 14:58:26.404246
